Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1979-06-26,Moonraker,6.157,34000000,210308099,"Action, Adventure, Thriller, Science Fiction","space marine, based on novel or book, venice, italy, mass murder, rio de janeiro, space suit, marcus square, space battle, secret base, gondola, laser, space travel, utopia, boat chase, mi6, astronaut, british secret service, space shuttle, cable car",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel, Corinne Cléry","United Artists, EON Productions, Danjaq, Les Productions Artistes Associés"
1979-08-15,Apocalypse Now,8.284,31500000,150000000,"Drama, War","guerrilla warfare, epic, vietnam war, journalist, mission, vietnam, vietcong, cia, cambodia, army, drug abuse, based on novel or book, secret mission, insanity, surrealism, tribe, green beret, jungle, descent into madness, brutality, riverboat, military, anti war",Francis Ford Coppola,"Martin Sheen, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms","United Artists, American Zoetrope, Coppola Cinema 7"
1979-12-07,Star Trek: The Motion Picture,6.491,35000000,139000000,"Science Fiction, Adventure, Mystery","spacecraft, man vs machine, artificial intelligence (a.i.), self sacrifice, teleportation, san francisco, california, starship, space opera, reunited friends, outer space",Robert Wise,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei",Paramount
1979-12-07,Kramer vs. Kramer,7.556,8000000,106260000,Drama,"husband wife relationship, marriage, custody battle, divorce, family, couple, selfishness, manhattan, new york city, child custody, abandonment",Robert Benton,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff",Columbia Pictures
1979-05-25,Alien,8.151,11000000,104931801,"Horror, Science Fiction","android, spacecraft, space marine, biology, dystopia, countdown, space suit, beheading, space travel, cowardice, alien, space, female protagonist, parasite, space opera, cosmos, xenomorph",Ridley Scott,"Sigourney Weaver, Tom Skerritt, Ian Holm, Yaphet Kotto, John Hurt","20th Century Fox, Brandywine Productions"
1979-04-12,Mad Max,6.686,350000,100000000,"Adventure, Action, Thriller, Science Fiction","australia, baby, chain, dystopia, post-apocalyptic future, exploitation, villain, bridge, matter of life and death, benzine, biker, cop, partner, truck, vigilante, motorcycle, motorcycle gang, exploding car, adventurer, action hero, good versus evil",George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns","Kennedy Miller Productions, Crossroads, Mad Max Films, American International Pictures"
1979-12-14,The Jerk,6.891,4000000,100000000,Comedy,"blow, neominstrelsy, phone book, sharecropper, tennis court",Carl Reiner,"Steve Martin, Bernadette Peters, Catlin Adams, Mabel King, Richard Ward","Universal Pictures, Aspen Film Society"
1979-12-14,1941,5.852,35000000,94900000,"Comedy, War","california, panic, submarine, war ship, world war ii, pearl harbor, satire, los angeles, california, 1940s, anarchic comedy",Steven Spielberg,"Dan Aykroyd, Ned Beatty, John Belushi, Lorraine Gary, Murray Hamilton","Columbia Pictures, A-Team, Universal Pictures"
1979-07-26,The Amityville Horror,6.275,4700000,86400000,Horror,"halloween, haunted house, possession, long island, new york, paranormal, new home, exorcist, psychotronic, indian burial ground, newspaper article, pets, haunted, religious horror",Stuart Rosenberg,"James Brolin, Margot Kidder, Rod Steiger, Don Stroud, Murray Hamilton",American International Pictures
1979-06-15,Rocky II,7.261,7000000,85182160,Drama,"hero, husband wife relationship, coma, transporter, love of one's life, intensive care, sports, publicity, boxer, training, world champion, victory, hospital, boxing",Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith","Winkler Films, United Artists"
