Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1975-06-20,Jaws,7.662,7000000,470653000,"Horror, Thriller, Adventure","dying and death, beach, based on novel or book, bathing, shipwreck, fishing, atlantic ocean, shark attack, police chief, ferry boat, animal attack, long island, new york, dead child, creature, skinny dipping, shark, great white shark, dead dog, child killed by animal, fourth of july, severed leg, fishing boat, animal horror, shark cage",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Murray Hamilton, Lorraine Gary","Zanuck/Brown Productions, Universal Pictures"
1975-08-14,The Rocky Horror Picture Show,7.5,1200000,112892319,"Comedy, Science Fiction, Fantasy, Horror","sexual identity, rock 'n' roll, transvestism, time warp, transylvania, transvestite, group sex, seduction, castle, sex addiction, musical, based on play or musical, cross dressing, homoeroticism, psychotronic, lgbt interest, horror musical",Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien, Patricia Quinn","Michael White Productions, 20th Century Fox"
1975-11-19,One Flew Over the Cuckoo's Nest,8.422,3000000,108981275,Drama,"mentally disabled, friendship, based on novel or book, nurse, lunatic asylum, insane asylum, oregon, usa, hospital, medication, female villain, shock treatment",Miloš Forman,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield",Fantasy Films
1975-02-11,Shampoo,6.005,4000000,60000000,"Comedy, Drama","hairdresser, presidential election, los angeles, california, beverly hills, sex comedy, 1960s",Hal Ashby,"Warren Beatty, Julie Christie, Goldie Hawn, Lee Grant, Jack Warden","Columbia Pictures, Persky-Bright Productions"
1975-09-21,Dog Day Afternoon,7.835,1800000,46665856,"Crime, Drama, Thriller","new york city, police, hostage, bank, fbi, heist, bank robbery, brooklyn, new york city, bank cashier, car procession, attica, unhappy marriage, based on magazine, newspaper or article",Sidney Lumet,"Al Pacino, John Cazale, Charles Durning, Chris Sarandon, James Broderick","Artists Entertainment Complex, Warner Bros. Pictures"
1975-05-21,The Return of the Pink Panther,6.798,5000000,41833347,"Mystery, Comedy, Crime","robbery, diamond, côte d'azur, inspector",Blake Edwards,"Peter Sellers, Christopher Plummer, Catherine Schell, Herbert Lom, Peter Arne","United Artists, Jewel Productions, Pimlico Films, ITC Entertainment"
1975-08-01,Three Days of the Condor,7.303,7800000,41509797,"Thriller, Mystery","cia, office, conspiracy, condor, christmas, political thriller",Sydney Pollack,"Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow, John Houseman","Dino De Laurentiis Company, Paramount, Tom Ward Enterprises, Wildwood Enterprises"
1975-08-25,"Cry, Onion!",4.9,0,39598448,"Western, Comedy",spaghetti western,Enzo G. Castellari,"Franco Nero, Sterling Hayden, Martin Balsam, Leo Anchóriz, Romano Puppo","CIPI Cinematografica S.A, Compagnia Cinematografica Champion, TIT Filmproduktion"
1975-07-01,The Apple Dumpling Gang,6.5,0,36853000,"Comedy, Family, Western",,Norman Tokar,"Don Knotts, Tim Conway, Harry Morgan, Bill Bixby, Susan Clark",Walt Disney Productions
1975-04-29,"Aloha, Bobby and Rose",6.0,60000,35000000,"Drama, Romance, Action","volkswagen beetle, camaro, jensen interceptor, runaway couple, fugitive lovers",Floyd Mutrux,"Paul Le Mat, Dianne Hull, Tim McIntire, Leigh French, Martine Bartlett",Cine Artists International
